org_state,Number_of_Terminated_Grants,Total_Money_Lost,Average_Money_Lost_Per_Grant
CA,112,70355930,628177.9464285715
NY,68,56677772,833496.6470588235
TX,73,41658021,570657.8219178083
MA,51,36063342,707124.3529411765
VA,41,29751948,725657.268292683
IL,42,27859922,663331.4761904762
DC,30,25657137,855237.9
CO,38,24490549,644488.1315789474
MD,32,24065696,752053
PA,45,22861209,508026.86666666664
WA,36,22313552,619820.8888888889
AZ,32,22096303,690509.46875
FL,36,20856308,579341.8888888889
MI,41,20149750,491457.31707317074
NC,38,19032990,500868.15789473685
GA,40,16282920,407073
WI,17,14190097,834711.5882352941
IN,23,10047175,436833.6956521739
OR,11,9119037,829003.3636363636
MN,19,9025870,475045.7894736842
HI,8,8697308,1087163.5
UT,13,7244529,557271.4615384615
NM,10,5607299,560729.9
OH,22,5521994,250999.72727272726
NE,9,5275707,586189.6666666666
AL,11,5217856,474350.54545454547
SC,6,5146490,857748.3333333334
TN,15,4359882,290658.8
RI,11,4306682,391516.54545454547
NJ,13,4286783,329752.53846153844
OK,5,3923396,784679.2
MO,11,3540772,321888.36363636365
LA,12,3527685,293973.75
ID,6,3518052,586342
CT,8,3310961,413870.125
AR,6,2850741,475123.5
DE,3,2084858,694952.6666666666
NV,6,2011562,335260.3333333333
KY,7,1750607,250086.7142857143
ND,3,1687486,562495.3333333334
MS,8,1513707,189213.375
IA,6,1492878,248813
PR,2,918600,459300
MT,2,753121,376560.5
KS,3,682674,227558
AK,3,614931,204977
NH,2,493987,246993.5
WV,1,205534,205534
VI,1,91246,91246
ME,1,70343,70343
